项目ID,统一项目名,原表名称,产品,省份,市（原表）,企业性质,工艺,统计行ID,文件,工作表,原表行,合并方式,样本合计处理
CN001,扬州一川镍业有限公司,扬州一川镍业有限公司,镍生铁／镍铁,江苏,,民企,RKEF,N028,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,28,保留独立产线,可按同产品读取
CN002,宿迁翔翔实业有限公司,宿迁翔翔实业有限公司,镍生铁／镍铁,江苏,,民企,RKEF,N029,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,29,保留独立产线,可按同产品读取
CN003,连云港海赣科技有限公司,连云港海赣科技有限公司,镍生铁／镍铁,江苏,,民企,EF,N030,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,30,保留独立产线,可按同产品读取
CN004,连云港科创不锈钢新材料有限公司,连云港科创不锈钢新材料有限公司,镍生铁／镍铁,江苏,,民企,EF,N031,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,31,保留独立产线,可按同产品读取
CN005,江苏德龙镍业有限公司,江苏德龙镍业有限公司,镍生铁／镍铁,江苏,,民企,RKEF,N032,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,32,保留独立产线,可按同产品读取
CN006,赣榆县金成镍业有限公司,赣榆县金成镍业有限公司,镍生铁／镍铁,江苏,,民企,RKEF,N033,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,33,保留独立产线,可按同产品读取
CN007,连云港天乙金属制品有限公司,连云港天乙金属制品有限公司,镍生铁／镍铁,江苏,,民企,EF,N034,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,34,保留独立产线,可按同产品读取
CN008,江苏宝通镍业有限公司,江苏宝通镍业有限公司,镍生铁／镍铁,江苏,,民企,EF,N035,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,35,保留独立产线,可按同产品读取
CN009,荣阳钢铁,荣阳钢铁,镍生铁／镍铁,江苏,,民企,RKEF,N036,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,36,保留独立产线,可按同产品读取
CN010,营口宁丰镁业（宁丰集团）,营口宁丰镁业（宁丰集团）,镍生铁／镍铁,辽宁,,民企,RKEF,N037,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,37,保留独立产线,可按同产品读取
CN011,辽宁晟运实业有限公司,辽宁晟运实业有限公司,镍生铁／镍铁,辽宁,,民企,RKEF,N038,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,38,保留独立产线,可按同产品读取
CN012,营口广大实业有限公司,营口广大实业有限公司,镍生铁／镍铁,辽宁,,民企,BF,N039,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,39,保留独立产线,可按同产品读取
CN013,光大冶金发展（大连）有限公司,光大冶金发展（大连）有限公司,镍生铁／镍铁,辽宁,,民企,RKEF,N040,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,40,保留独立产线,可按同产品读取
CN014,辽宁宝铂科技有限公司,辽宁宝铂科技有限公司-A,镍生铁／镍铁,辽宁,,民企,RKEF,N041,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,41,保留独立产线,可按同产品读取
CN013,光大冶金发展（大连）有限公司,光大冶金发展（大连）有限公司（现：鑫峰科技新材料有限公司）,镍生铁／镍铁,辽宁,,民企,RKEF,N042,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,42,别名按月补齐、不相加,别名行不重复计入
CN015,朝阳昊天有色金属有限公司-朝阳利鑫有色金属有限公司（北方兄弟）,朝阳昊天有色金属有限公司-朝阳利鑫有色金属有限公司（北方兄弟）,镍生铁／镍铁,辽宁,,民企,EF,N043,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,43,保留独立产线,可按同产品读取
CN016,海城市腾发耐火材料有限公司,海城市腾发耐火材料有限公司,镍生铁／镍铁,辽宁,,民企,EF,N044,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,44,保留独立产线,可按同产品读取
CN017,凌源市瑞丰铸造有限公司,凌源市瑞丰铸造有限公司,镍生铁／镍铁,辽宁,,民企,BF,N045,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,45,保留独立产线,可按同产品读取
CN018,辽宁垚鑫铸业有限公司,辽宁垚鑫铸业有限公司,镍生铁／镍铁,辽宁,,民企,BF,N046,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,46,保留独立产线,可按同产品读取
CN019,鞍山旭辰耐火材料有限公司,鞍山旭辰耐火材料有限公司,镍生铁／镍铁,辽宁,,民企,EF,N047,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,47,保留独立产线,可按同产品读取
CN020,辽宁国润金属集团,辽宁国润金属集团,镍生铁／镍铁,辽宁,,民企,EF,N048,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,48,保留独立产线,可按同产品读取
CN021,锦州市鑫泽锰业有限公司（义县应盛金属实业有限公司）,锦州市鑫泽锰业有限公司（义县应盛金属实业有限公司）,镍生铁／镍铁,辽宁,,民企,BF,N049,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,49,保留独立产线,可按同产品读取
CN022,锦州鑫雨铁合金,锦州鑫雨铁合金,镍生铁／镍铁,辽宁,,民企,BF,N050,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,50,保留独立产线,可按同产品读取
CN023,山东鑫海科技有限公司,山东鑫海科技有限公司,镍生铁／镍铁,山东,,民企,RKEF,N051,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,51,保留独立产线,可按同产品读取
CN024,临沂金海汇科技有限公司,临沂金海汇科技有限公司,镍生铁／镍铁,山东,,民企,RKEF,N052,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,52,保留独立产线,可按同产品读取
CN025,茌平爱得信新材料有限公司,茌平爱得信新材料有限公司,镍生铁／镍铁,山东,,民企,RKEF,N053,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,53,保留独立产线,可按同产品读取
CN026,日照铸福,日照铸福,镍生铁／镍铁,山东,,民企,BF,N054,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,54,保留独立产线,可按同产品读取
CN027,沾化县炜烨镍业有限公司,沾化县炜烨镍业有限公司,镍生铁／镍铁,山东,,民企,EF,N055,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,55,保留独立产线,可按同产品读取
CN028,山西曲沃县三鑫铸造有限公司,山西曲沃县三鑫铸造有限公司,镍生铁／镍铁,山西,,民企,BF,N056,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,56,保留独立产线,可按同产品读取
CN029,青州天泰德隆冶金科技有限公司,青州天泰德隆冶金科技有限公司,镍生铁／镍铁,山东,,民企,BF,N057,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,57,保留独立产线,可按同产品读取
CN030,冠县顺丰金属制品有限公司,冠县顺丰金属制品有限公司,镍生铁／镍铁,山东,,民企,BF,N058,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,58,保留独立产线,可按同产品读取
CN031,福建联德镍铁合金,福建联德镍铁合金,镍生铁／镍铁,福建,,民企,RKEF,N059,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,59,保留独立产线,可按同产品读取
CN032,福建鼎信实业有限公司,福建鼎信实业有限公司-A,镍生铁／镍铁,福建,,民企,RKEF,N060,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,60,保留独立产线,可按同产品读取
CN032,福建鼎信实业有限公司,福建鼎信实业有限公司-B,镍生铁／镍铁,福建,,民企,BF,N061,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,61,保留独立产线,可按同产品读取
CN033,宝钢德盛不锈钢有限公司,宝钢德盛不锈钢有限公司-A,镍生铁／镍铁,福建,,国企,RKEF,N062,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,62,保留独立产线,可按同产品读取
CN034,五洲镍业有限公司/化德县五洲钢业有限公司,五洲镍业有限公司/化德县五洲钢业有限公司,镍生铁／镍铁,内蒙古,,民企,EF,N063,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,63,保留独立产线,可按同产品读取
CN035,内蒙古察右前旗鑫扬冶金化工有限公司,内蒙古察右前旗鑫扬冶金化工有限公司,镍生铁／镍铁,内蒙古,,民企,EF,N064,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,64,保留独立产线,可按同产品读取
CN036,内蒙古商都县永鑫公司（原瑞泰冶金）,内蒙古商都县永鑫公司（原瑞泰冶金）,镍生铁／镍铁,内蒙古,,民企,EF,N065,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,65,保留独立产线,租赁／历史名称可能重叠，暂不进入样本合计
CN037,内蒙古硕丰实业有限公司,内蒙古硕丰实业有限公司,镍生铁／镍铁,内蒙古,,民企,EF,N066,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,66,保留独立产线,可按同产品读取
CN038,内蒙古上泰实业有限公司,内蒙古上泰实业有限公司,镍生铁／镍铁,内蒙古,,民企,RKEF,N067,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,67,保留独立产线,可按同产品读取
CN039,内蒙古商都县中建金马冶金化工有限公司,内蒙古商都县中建金马冶金化工有限公司,镍生铁／镍铁,内蒙古,,民企,RKEF,N068,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,68,保留独立产线,可按同产品读取
CN040,内蒙古天润特种铁合金有限公司,内蒙古天润特种铁合金有限公司-A,镍生铁／镍铁,内蒙古,,民企,RKEF,N069,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,69,保留独立产线,可按同产品读取
CN040,内蒙古天润特种铁合金有限公司,内蒙古天润特种铁合金有限公司-B,镍生铁／镍铁,内蒙古,,民企,EF,N070,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,70,保留独立产线,可按同产品读取
CN041,内蒙古隆盛特钢有限公司,内蒙古隆盛特钢有限公司,镍生铁／镍铁,内蒙古,,民企,EF,N071,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,71,保留独立产线,可按同产品读取
CN042,内蒙古和谊镍铬复合材料有限公司,内蒙古和谊镍铬复合材料有限公司,镍生铁／镍铁,内蒙古,,民企,RKEF,N072,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,72,保留独立产线,租赁／历史名称可能重叠，暂不进入样本合计
CN043,化德县嘉铭钢业有限公司,化德县嘉铭钢业有限公司,镍生铁／镍铁,内蒙古,,民企,EF,N073,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,73,保留独立产线,可按同产品读取
CN044,内蒙古察右前旗辰东化工有限责任公司,内蒙古察右前旗辰东化工有限责任公司,镍生铁／镍铁,内蒙古,,民企,EF,N074,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,74,保留独立产线,可按同产品读取
CN045,瑞泰冶金有限公司,瑞泰冶金有限公司,镍生铁／镍铁,内蒙古,,民企,EF,N075,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,75,保留独立产线,租赁／历史名称可能重叠，暂不进入样本合计
CN046,瑞泰,瑞泰,镍生铁／镍铁,内蒙古,,民企,EF,N076,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,76,保留独立产线,租赁／历史名称可能重叠，暂不进入样本合计
CN047,化德县中泰镍铁有限公司,化德县中泰镍铁有限公司,镍生铁／镍铁,内蒙古,,民企,RKEF,N077,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,77,保留独立产线,可按同产品读取
CN048,化德县鑫泽镍业有限公司,化德县鑫泽镍业有限公司,镍生铁／镍铁,内蒙古,,民企,EF,N078,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,78,保留独立产线,可按同产品读取
CN049,化德县同盛铁合金有限公司(昌盛泰),化德县同盛铁合金有限公司(昌盛泰),镍生铁／镍铁,内蒙古,,民企,EF,N079,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,79,保留独立产线,可按同产品读取
CN050,永盛铁合金,永盛铁合金,镍生铁／镍铁,内蒙古,,民企,EF,N080,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,80,保留独立产线,可按同产品读取
CN051,光达冶金（烨兆）,光达冶金（烨兆）,镍生铁／镍铁,内蒙古,,民企,EF,N081,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,81,保留独立产线,可按同产品读取
CN044,内蒙古察右前旗辰东化工有限责任公司,辰东化工,镍生铁／镍铁,内蒙古,,民企,EF,N082,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,82,别名按月补齐、不相加,别名行不重复计入
CN052,化德县鑫盛铁合金有限公司,化德县鑫盛铁合金有限公司,镍生铁／镍铁,内蒙古,,民企,EF,N083,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,83,保留独立产线,可按同产品读取
CN053,唐山凯源实业有限公司,唐山凯源实业有限公司-A,镍生铁／镍铁,河北,,民企,RKEF,N084,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,84,保留独立产线,可按同产品读取
CN053,唐山凯源实业有限公司,唐山凯源实业有限公司-B,镍生铁／镍铁,河北,,民企,EF,N085,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,85,保留独立产线,可按同产品读取
CN054,唐山腾达科技有限公司,唐山腾达科技有限公司,镍生铁／镍铁,河北,,民企,EF,N086,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,86,保留独立产线,可按同产品读取
CN055,丰润区长明不锈钢制品厂,丰润区长明不锈钢制品厂,镍生铁／镍铁,河北,,民企,BF,N087,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,87,保留独立产线,可按同产品读取
CN056,河北春风铸造有限责任公司,河北春风铸造有限责任公司,镍生铁／镍铁,河北,,民企,BF,N088,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,88,保留独立产线,可按同产品读取
CN057,偏关县晋电化工有限责任公司,偏关县晋电化工有限责任公司,镍生铁／镍铁,山西,,民企,RKEF,N089,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,89,保留独立产线,可按同产品读取
CN058,山西众泰陆洋冶炼实业有限公司,山西众泰陆洋冶炼实业有限公司,镍生铁／镍铁,山西,,民企,BF,N090,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,90,保留独立产线,可按同产品读取
CN059,山西达康集团,山西达康集团,镍生铁／镍铁,山西,,民企,BF,N091,明细&汇总-全球镍生铁-月度产量 060426.xlsx,明细-全球镍生铁-月度产量,91,保留独立产线,可按同产品读取
