序号,产品,日期,月份,出口商(标准化),出口商(原始),园区,出发港,买家,目的国,到货港,HS,重量(吨),Ni%原文,Ni%(修正),品位来源,Ni金属量(吨),金额USD,USD每实物吨,USD每镍吨,品名,质量标记,数据源,source_row,参考计入重量吨,复核标记,关联客户ID
802,硫酸镍,2023-05-19,2023-05,PT HALMAHERA PERSADA LYGEND,PT HALMAHERA PERSADA LYGEND,Obi(Harita),Obi Island,"Ningbo Lygend Wisdom Co., Ltd.",China,Zhangjiagang,28332400,216,,22.2,化学计量(NiSO4·6H2O 22.2%),47.95,838996,3884,17497,NICKEL SULFATE,,中间品矩阵(75章+720150等),803,216,,NC162
986,硫酸镍,2023-06-16,2023-06,PT HALMAHERA PERSADA LYGEND,PT HALMAHERA PERSADA LYGEND,Obi(Harita),Obi Island,"Ningbo Lygend Wisdom Co., Ltd.",China,Zhangjiagang,28332400,1920,,22.2,化学计量(NiSO4·6H2O 22.2%),426.24,7234982,3768,16974,NICKEL SULFATE,,中间品矩阵(75章+720150等),987,1920,,NC162
987,硫酸镍,2023-06-16,2023-06,PT HALMAHERA PERSADA LYGEND,PT HALMAHERA PERSADA LYGEND,Obi(Harita),Obi Island,"Ningbo Lygend Wisdom Co., Ltd.",China,Zhangjiagang,28332400,3664,,22.2,化学计量(NiSO4·6H2O 22.2%),813.41,13806758,3768,16974,NICKEL SULFATE,,中间品矩阵(75章+720150等),988,3664,,NC162
1087,硫酸镍,2023-07-02,2023-07,PT HALMAHERA PERSADA LYGEND,PT HALMAHERA PERSADA LYGEND,Obi(Harita),Obi Island,"Ningbo Lygend Wisdom Co., Ltd.",China,Zhapu,28332400,4440,,22.2,化学计量(NiSO4·6H2O 22.2%),985.68,16675042,3756,16917,NICKEL SULFATE,,中间品矩阵(75章+720150等),1088,4440,,NC162
1239,硫酸镍,2023-07-21,2023-07,PT HALMAHERA PERSADA LYGEND,PT HALMAHERA PERSADA LYGEND,Obi(Harita),Obi Island,"Ningbo Lygend Wisdom Co., Ltd.",China,Zhapu,28332400,20,,22.2,化学计量(NiSO4·6H2O 22.2%),4.44,76153,3808,17152,NICKEL SULFATE,,中间品矩阵(75章+720150等),1240,20,,NC162
1240,硫酸镍,2023-07-21,2023-07,PT HALMAHERA PERSADA LYGEND,PT HALMAHERA PERSADA LYGEND,Obi(Harita),Obi Island,"Ningbo Lygend Wisdom Co., Ltd.",China,Zhapu,28332400,5380,,22.2,化学计量(NiSO4·6H2O 22.2%),1194.36,20485211,3808,17152,NICKEL SULFATE,,中间品矩阵(75章+720150等),1241,5380,,NC162
1349,硫酸镍,2023-08-06,2023-08,PT HALMAHERA PERSADA LYGEND,PT HALMAHERA PERSADA LYGEND,Obi(Harita),Obi Island,"Ningbo Lygend Wisdom Co., Ltd.",China,Zhapu,28332400,5680,,22.2,化学计量(NiSO4·6H2O 22.2%),1260.96,21388267,3766,16962,NICKEL SULFATE,,中间品矩阵(75章+720150等),1350,5680,,NC162
1376,硫酸镍,2023-08-10,2023-08,PT HALMAHERA PERSADA LYGEND,PT HALMAHERA PERSADA LYGEND,Obi(Harita),Obi Island,"Ningbo Lygend Wisdom Co., Ltd.",China,Zhangjiagang,28332400,2060,,22.2,化学计量(NiSO4·6H2O 22.2%),457.32,7750297,3762,16947,NICKEL SULFATE,,中间品矩阵(75章+720150等),1377,2060,,NC162
1377,硫酸镍,2023-08-10,2023-08,PT HALMAHERA PERSADA LYGEND,PT HALMAHERA PERSADA LYGEND,Obi(Harita),Obi Island,"Ningbo Lygend Wisdom Co., Ltd.",China,Zhangjiagang,28332400,2080,,22.2,化学计量(NiSO4·6H2O 22.2%),461.76,7825542,3762,16947,NICKEL SULFATE,,中间品矩阵(75章+720150等),1378,2080,,NC162
1593,硫酸镍,2023-09-06,2023-09,PT HALMAHERA PERSADA LYGEND,PT HALMAHERA PERSADA LYGEND,Obi(Harita),Obi Island,"Ningbo Lygend Wisdom Co., Ltd.",China,Zhapu,28332400,1180,,22.2,化学计量(NiSO4·6H2O 22.2%),261.96,4213485,3571,16084,NICKEL SULFATE,,中间品矩阵(75章+720150等),1594,1180,,NC162
1594,硫酸镍,2023-09-06,2023-09,PT HALMAHERA PERSADA LYGEND,PT HALMAHERA PERSADA LYGEND,Obi(Harita),Obi Island,"Ningbo Lygend Wisdom Co., Ltd.",China,Zhapu,28332400,4620,,22.2,化学计量(NiSO4·6H2O 22.2%),1025.64,16496865,3571,16084,NICKEL SULFATE,,中间品矩阵(75章+720150等),1595,4620,,NC162
1624,硫酸镍,2023-09-09,2023-09,PT HALMAHERA PERSADA LYGEND,PT HALMAHERA PERSADA LYGEND,Obi(Harita),Obi Island,"Ningbo Lygend Wisdom Co., Ltd.",China,Zhapu,28332400,2600,,22.2,化学计量(NiSO4·6H2O 22.2%),577.2,9057672,3484,15692,NICKEL SULFATE,,中间品矩阵(75章+720150等),1625,2600,,NC162
1868,硫酸镍,2023-10-10,2023-10,PT HALMAHERA PERSADA LYGEND,PT HALMAHERA PERSADA LYGEND,Obi(Harita),Obi Island,"Ningbo Lygend Wisdom Co., Ltd.",China,Zhapu,28332400,3440,,22.2,化学计量(NiSO4·6H2O 22.2%),763.68,12022250,3495,15743,NICKEL SULFATE,,中间品矩阵(75章+720150等),1869,3440,,NC162
1903,硫酸镍,2023-10-16,2023-10,PT HALMAHERA PERSADA LYGEND,PT HALMAHERA PERSADA LYGEND,Obi(Harita),Obi Island,"Ningbo Lygend Wisdom Co., Ltd.",China,Zhapu,28332400,5500,,22.2,化学计量(NiSO4·6H2O 22.2%),1221,19664700,3575,16105,NICKEL SULFATE,,中间品矩阵(75章+720150等),1904,5500,,NC162
2074,硫酸镍,2023-11-06,2023-11,PT HALMAHERA PERSADA LYGEND,PT HALMAHERA PERSADA LYGEND,Obi(Harita),Obi Island,"Ningbo Lygend Wisdom Co., Ltd.",China,Zhapu,28332400,4440,,22.2,化学计量(NiSO4·6H2O 22.2%),985.68,15170992,3417,15391,NICKEL SULFATE,,中间品矩阵(75章+720150等),2075,4440,,NC162
2095,硫酸镍,2023-11-10,2023-11,PT HALMAHERA PERSADA LYGEND,PT HALMAHERA PERSADA LYGEND,Obi(Harita),Obi Island,"Ningbo Lygend Wisdom Co., Ltd.",China,Zhapu,28332400,6000,,22.2,化学计量(NiSO4·6H2O 22.2%),1332,20535240,3423,15417,NICKEL SULFATE,,中间品矩阵(75章+720150等),2096,6000,,NC162
2176,精炼镍,2023-11-22,2023-11,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,CNGR HONG KONG MATERIAL SCIENCE AND TECHNOLOGY CO,,Shekou,75021000,0.8,,99,HS750210 Ni≥99% 产品标准(口径#44),0.79,13564.68,16956,17127,ELECTROLYTIC NICKEL,新品目通道历史回补【#45】,新品目通道历史回补【#45】,2177,0.8,,RC001
2260,硫酸镍,2023-12-05,2023-12,PT HALMAHERA PERSADA LYGEND,PT HALMAHERA PERSADA LYGEND,Obi(Harita),Obi Island,"Ningbo Lygend Wisdom Co., Ltd.",China,Zhapu,28332400,1740,,22.2,化学计量(NiSO4·6H2O 22.2%),386.28,5657854,3252,14647,NICKEL SULFATE,,中间品矩阵(75章+720150等),2261,1740,,NC162
2261,硫酸镍,2023-12-05,2023-12,PT HALMAHERA PERSADA LYGEND,PT HALMAHERA PERSADA LYGEND,Obi(Harita),Obi Island,"Ningbo Lygend Wisdom Co., Ltd.",China,Zhapu,28332400,5460,,22.2,化学计量(NiSO4·6H2O 22.2%),1212.12,17753954,3252,14647,NICKEL SULFATE,,中间品矩阵(75章+720150等),2262,5460,,NC162
2262,精炼镍,2023-12-05,2023-12,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,ETERNAL TSINGSHAN GROUP LIMITED,,Ningbo,75021000,49.97,,99,HS750210 Ni≥99% 产品标准(口径#44),49.47,968273.77,19377,19573,ELECTROLYTIC NICKEL,重量口径：采用qty（weight列单位异常）；新品目通道历史回补【#45】,新品目通道历史回补【#45】,2263,49.97,,RC002
2263,精炼镍,2023-12-05,2023-12,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,ETERNAL TSINGSHAN GROUP LIMITED,,Ningbo,75021000,23.98,,99,HS750210 Ni≥99% 产品标准(口径#44),23.74,464714.21,19379,19575,ELECTROLYTIC NICKEL,重量口径：采用qty（weight列单位异常）；新品目通道历史回补【#45】,新品目通道历史回补【#45】,2264,23.98,,RC002
2264,精炼镍,2023-12-05,2023-12,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,ETERNAL TSINGSHAN GROUP LIMITED,,Ningbo,75021000,19.99,,99,HS750210 Ni≥99% 产品标准(口径#44),19.79,387397.49,19380,19575,ELECTROLYTIC NICKEL,重量口径：采用qty（weight列单位异常）；新品目通道历史回补【#45】,新品目通道历史回补【#45】,2265,19.99,,RC002
2265,精炼镍,2023-12-05,2023-12,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,ETERNAL TSINGSHAN GROUP LIMITED,,Ningbo,75021000,60.07,,99,HS750210 Ni≥99% 产品标准(口径#44),59.47,1163983,19377,19573,ELECTROLYTIC NICKEL,重量口径：采用qty（weight列单位异常）；新品目通道历史回补【#45】,新品目通道历史回补【#45】,2266,60.07,,RC002
2266,精炼镍,2023-12-05,2023-12,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,GOLDEN HARBOUR INTERNATIONAL PTE LTD,,Rotterdam,75021000,500.0336,,99,HS750210 Ni≥99% 产品标准(口径#44),495.03,9689706.1,19378,19574,ELECTROLYTIC NICKEL,新品目通道历史回补【#45】,新品目通道历史回补【#45】,2267,500.0336,,NC065
2267,精炼镍,2023-12-05,2023-12,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,ETERNAL TSINGSHAN GROUP LIMITED,,Ningbo,75021000,49.98,,99,HS750210 Ni≥99% 产品标准(口径#44),49.48,968461.74,19377,19573,ELECTROLYTIC NICKEL,重量口径：采用qty（weight列单位异常）；新品目通道历史回补【#45】,新品目通道历史回补【#45】,2268,49.98,,RC002
2268,精炼镍,2023-12-05,2023-12,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,ETERNAL TSINGSHAN GROUP LIMITED,,Ningbo,75021000,20.04,,99,HS750210 Ni≥99% 产品标准(口径#44),19.84,388331.51,19378,19574,ELECTROLYTIC NICKEL,重量口径：采用qty（weight列单位异常）；新品目通道历史回补【#45】,新品目通道历史回补【#45】,2269,20.04,,RC002
2269,精炼镍,2023-12-05,2023-12,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,ETERNAL TSINGSHAN GROUP LIMITED,,Ningbo,75021000,600.669,,99,企业加权(近3月),594.66,1163983,1938,1957,ELECTROLYTIC NICKEL,全历史档并集补票【#65】,中间品矩阵(75章+720150等),2270,600.669,,RC002
2270,精炼镍,2023-12-05,2023-12,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,ETERNAL TSINGSHAN GROUP LIMITED,,Ningbo,75021000,499.771,,99,企业加权(近3月),494.77,968461.74,1938,1957,ELECTROLYTIC NICKEL,全历史档并集补票【#65】,中间品矩阵(75章+720150等),2271,499.771,,RC002
2271,精炼镍,2023-12-05,2023-12,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,ETERNAL TSINGSHAN GROUP LIMITED,,Ningbo,75021000,499.674,,99,企业加权(近3月),494.68,968273.77,1938,1957,ELECTROLYTIC NICKEL,全历史档并集补票【#65】,中间品矩阵(75章+720150等),2272,499.674,,RC002
2321,精炼镍,2023-12-12,2023-12,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,"C. Steinweg Logistics (Shanghai Waigaoqiao Bonded Logistics Zone) Co., Ltd.",,Yunting,75021000,720.25,,99,HS750210 Ni≥99% 产品标准(口径#44),713.05,13957134.11,19378,19574,ELECTROLYTIC NICKEL,新品目通道历史回补【#45】,新品目通道历史回补【#45】,2322,720.25,,NC019
2322,精炼镍,2023-12-12,2023-12,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,"C. Steinweg Logistics (Shanghai Waigaoqiao Bonded Logistics Zone) Co., Ltd.",,Yunting,75021000,720.25,,99,企业加权(近3月),713.05,13957134.11,19378,19574,ELECTROLYTIC NICKEL,全历史档并集补票【#65】,中间品矩阵(75章+720150等),2323,720.25,,NC019
2353,精炼镍,2023-12-17,2023-12,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,JINDAL STAINLESS LIMITED,,Paradip Port,75021000,6.002,,99,HS750210 Ni≥99% 产品标准(口径#44),5.94,115712.86,19279,19474,ELECTROLYTIC NICKEL,新品目通道历史回补【#45】,新品目通道历史回补【#45】,2354,6.002,,NC127
2371,精炼镍,2023-12-18,2023-12,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,"C. Steinweg Logistics (Shanghai Waigaoqiao Bonded Logistics Zone) Co., Ltd.",,Yunting,75021000,410.0634,,99,HS750210 Ni≥99% 产品标准(口径#44),405.96,7905632.79,19279,19474,ELECTROLYTIC NICKEL,新品目通道历史回补【#45】,新品目通道历史回补【#45】,2372,410.0634,,NC019
2380,精炼镍,2023-12-20,2023-12,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,ETERNAL TSINGSHAN GROUP LIMITED,,Ningbo,75021000,49.9995,,99,HS750210 Ni≥99% 产品标准(口径#44),49.5,963942.86,19279,19474,ELECTROLYTIC NICKEL,新品目通道历史回补【#45】,新品目通道历史回补【#45】,2381,49.9995,,RC002
2381,精炼镍,2023-12-20,2023-12,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,ETERNAL TSINGSHAN GROUP LIMITED,,Ningbo,75021000,39.9948,,99,HS750210 Ni≥99% 产品标准(口径#44),39.59,771061.75,19279,19474,ELECTROLYTIC NICKEL,新品目通道历史回补【#45】,新品目通道历史回补【#45】,2382,39.9948,,RC002
2458,硫酸镍,2023-12-27,2023-12,PT HALMAHERA PERSADA LYGEND,PT HALMAHERA PERSADA LYGEND,Obi(Harita),Obi Island,"Ningbo Lygend Wisdom Co., Ltd.",China,Zhapu,28332400,6000,,22.2,化学计量(NiSO4·6H2O 22.2%),1332,17724360,2954,13307,NICKEL SULFATE,,中间品矩阵(75章+720150等),2459,6000,,NC162
2499,精炼镍,2024-01-01,2024-01,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,"C. Steinweg Logistics (Shanghai Waigaoqiao Bonded Logistics Zone) Co., Ltd.",China,Zhangjiagang,75021000,250.0508,,99,HS750210 Ni≥99% 产品标准(口径#44),247.55,4820741.88,19279,19474,ELECTROLYTIC NICKEL,新品目通道历史回补【#45】,新品目通道历史回补【#45】,2500,250.0508,,NC019
2509,精炼镍,2024-01-02,2024-01,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,STEINWEG SHARAF INDIA PRIVATE LIMITED,India,Mundra,75021000,383.794,,99,HS750210 Ni≥99% 产品标准(口径#44),379.96,7399183.72,19279,19474,ELECTROLYTIC NICKEL,新品目通道历史回补【#45】,新品目通道历史回补【#45】,2510,383.794,,NC228
2510,精炼镍,2024-01-02,2024-01,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,SAINTSTEEL COMERCIO INTERNACIONAL DE METAIS LTDA,Brazil,Navegantes,75021000,25.6644,,99,HS750210 Ni≥99% 产品标准(口径#44),25.41,494785.25,19279,19474,ELECTROLYTIC NICKEL,新品目通道历史回补【#45】,新品目通道历史回补【#45】,2511,25.6644,,RC003
2511,精炼镍,2024-01-02,2024-01,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,TAE EU WAREHOUSING KOREA CO LTD,South Korea,Busan New Port,75021000,300.2429,,99,HS750210 Ni≥99% 产品标准(口径#44),297.24,5788397.88,19279,19474,ELECTROLYTIC NICKEL,新品目通道历史回补【#45】,新品目通道历史回补【#45】,2512,300.2429,,RC004
2512,精炼镍,2024-01-02,2024-01,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,ACCESS WORLD BUSAN LIMITED,South Korea,Pusan,75021000,100.696,,99,HS750210 Ni≥99% 产品标准(口径#44),99.69,1941323.22,19279,19474,ELECTROLYTIC NICKEL,新品目通道历史回补【#45】,新品目通道历史回补【#45】,2513,100.696,,RC005
2521,精炼镍,2024-01-04,2024-01,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,ETERNAL TSINGSHAN GROUP LIMITED,South Korea,Inchon,75021000,6.0269,,99,HS750210 Ni≥99% 产品标准(口径#44),5.97,116192.91,19279,19474,ELECTROLYTIC NICKEL,新品目通道历史回补【#45】,新品目通道历史回补【#45】,2522,6.0269,,RC002
2546,精炼镍,2024-01-08,2024-01,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,Pgs(China) Ltd.,China,Shanghai,75021000,149.3915,,99,HS750210 Ni≥99% 产品标准(口径#44),147.9,2880126.2,19279,19474,ELECTROLYTIC NICKEL,新品目通道历史回补【#45】,新品目通道历史回补【#45】,2547,149.3915,,MC086
2555,精炼镍,2024-01-09,2024-01,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,ETERNAL TSINGSHAN GROUP LIMITED,China,NINGBO,75021000,50.7079,,99,HS750210 Ni≥99% 产品标准(口径#44),50.2,977600.14,19279,19474,ELECTROLYTIC NICKEL,新品目通道历史回补【#45】,新品目通道历史回补【#45】,2556,50.7079,,RC002
2556,精炼镍,2024-01-09,2024-01,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,ETERNAL TSINGSHAN GROUP LIMITED,China,NINGBO,75021000,24.2302,,99,HS750210 Ni≥99% 产品标准(口径#44),23.99,467135.24,19279,19474,ELECTROLYTIC NICKEL,新品目通道历史回补【#45】,新品目通道历史回补【#45】,2557,24.2302,,RC002
2557,精炼镍,2024-01-09,2024-01,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,ETERNAL TSINGSHAN GROUP LIMITED,China,NINGBO,75021000,24.3233,,99,HS750210 Ni≥99% 产品标准(口径#44),24.08,468930.12,19279,19474,ELECTROLYTIC NICKEL,新品目通道历史回补【#45】,新品目通道历史回补【#45】,2558,24.3233,,RC002
2558,精炼镍,2024-01-09,2024-01,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,ETERNAL TSINGSHAN GROUP LIMITED,China,NINGBO,75021000,49.9281,,99,HS750210 Ni≥99% 产品标准(口径#44),49.43,962566.34,19279,19474,ELECTROLYTIC NICKEL,新品目通道历史回补【#45】,新品目通道历史回补【#45】,2559,49.9281,,RC002
2559,精炼镍,2024-01-09,2024-01,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,ETERNAL TSINGSHAN GROUP LIMITED,China,NINGBO,75021000,20.0012,,99,HS750210 Ni≥99% 产品标准(口径#44),19.8,385604.13,19279,19474,ELECTROLYTIC NICKEL,新品目通道历史回补【#45】,新品目通道历史回补【#45】,2560,20.0012,,RC002
2560,精炼镍,2024-01-09,2024-01,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,ETERNAL TSINGSHAN GROUP LIMITED,China,NINGBO,75021000,97.0378,,99,HS750210 Ni≥99% 产品标准(口径#44),96.07,1870796.6,19279,19474,ELECTROLYTIC NICKEL,新品目通道历史回补【#45】,新品目通道历史回补【#45】,2561,97.0378,,RC002
2561,精炼镍,2024-01-09,2024-01,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,ETERNAL TSINGSHAN GROUP LIMITED,China,NINGBO,75021000,90.477,,99,HS750210 Ni≥99% 产品标准(口径#44),89.57,1744310.61,19279,19474,ELECTROLYTIC NICKEL,新品目通道历史回补【#45】,新品目通道历史回补【#45】,2562,90.477,,RC002
2576,硫酸镍,2024-01-11,2024-01,PT HALMAHERA PERSADA LYGEND,PT HALMAHERA PERSADA LYGEND,Obi(Harita),Obi Island,"Ningbo Lygend Wisdom Co., Ltd.",China,Zhangjiagang,28332400,4400,,22.2,化学计量(NiSO4·6H2O 22.2%),976.8,12385340,2815,12680,NICKEL SULFATE,,中间品矩阵(75章+720150等),2577,4400,,NC162
2603,精炼镍,2024-01-15,2024-01,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,"C. Steinweg Logistics (Shanghai Waigaoqiao Bonded Logistics Zone) Co., Ltd.",China,Yantai Pt,75021000,439.4667,,99,HS750210 Ni≥99% 产品标准(口径#44),435.07,8472500.48,19279,19474,ELECTROLYTIC NICKEL,新品目通道历史回补【#45】,新品目通道历史回补【#45】,2604,439.4667,,NC019
2614,硫酸镍,2024-01-17,2024-01,PT HALMAHERA PERSADA LYGEND,PT HALMAHERA PERSADA LYGEND,Obi(Harita),Obi Island,"Ningbo Lygend Wisdom Co., Ltd.",China,Zhapu,28332400,6140,,22.2,化学计量(NiSO4·6H2O 22.2%),1363.08,17326220,2822,12711,NICKEL SULFATE,,中间品矩阵(75章+720150等),2615,6140,,NC162
2651,精炼镍,2024-01-20,2024-01,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,ETERNAL TSINGSHAN GROUP LIMITED,China,NINGBO,75021000,95.7809,,99,HS750210 Ni≥99% 产品标准(口径#44),94.82,1846564.76,19279,19474,ELECTROLYTIC NICKEL,新品目通道历史回补【#45】,新品目通道历史回补【#45】,2652,95.7809,,RC002
2652,精炼镍,2024-01-20,2024-01,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,ETERNAL TSINGSHAN GROUP LIMITED,China,NINGBO,75021000,25.5603,,99,HS750210 Ni≥99% 产品标准(口径#44),25.3,492778.3,19279,19474,ELECTROLYTIC NICKEL,新品目通道历史回补【#45】,新品目通道历史回补【#45】,2653,25.5603,,RC002
2653,精炼镍,2024-01-20,2024-01,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,ACCESS WORLD BUSAN LIMITED,South Korea,Pusan,75021000,95.9697,,99,HS750210 Ni≥99% 产品标准(口径#44),95.01,1597255.39,16643,16811,ELECTROLYTIC NICKEL,新品目通道历史回补【#45】,新品目通道历史回补【#45】,2654,95.9697,,RC005
2654,精炼镍,2024-01-20,2024-01,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,C STEINWEG BRASIL LTDA,Brazil,Navegantes,75021000,96.1557,,99,HS750210 Ni≥99% 产品标准(口径#44),95.19,1853790.55,19279,19474,ELECTROLYTIC NICKEL,新品目通道历史回补【#45】,新品目通道历史回补【#45】,2655,96.1557,,RC006
2655,精炼镍,2024-01-20,2024-01,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,ETERNAL TSINGSHAN GROUP LIMITED,China,NINGBO,75021000,40.9601,,99,HS750210 Ni≥99% 产品标准(口径#44),40.55,789671.82,19279,19474,ELECTROLYTIC NICKEL,新品目通道历史回补【#45】,新品目通道历史回补【#45】,2656,40.9601,,RC002
2656,精炼镍,2024-01-20,2024-01,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,TAE EU WAREHOUSING KOREA CO LTD,South Korea,Busan (ex Pusan),75021000,601.0546,,99,HS750210 Ni≥99% 产品标准(口径#44),595.04,10003550.06,16643,16811,ELECTROLYTIC NICKEL,新品目通道历史回补【#45】,新品目通道历史回补【#45】,2657,601.0546,,RC004
2657,精炼镍,2024-01-20,2024-01,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,HANSMET CO,South Korea,Busan (ex Pusan),75021000,59.9016,,99,HS750210 Ni≥99% 产品标准(口径#44),59.3,1145261.69,19119,19312,ELECTROLYTIC NICKEL,新品目通道历史回补【#45】,新品目通道历史回补【#45】,2658,59.9016,,RC007
2658,精炼镍,2024-01-20,2024-01,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,Pgs(China) Ltd.,China,Shanghai,75021000,333.1769,,99,HS750210 Ni≥99% 产品标准(口径#44),329.85,5545173.1,16643,16811,ELECTROLYTIC NICKEL,新品目通道历史回补【#45】,新品目通道历史回补【#45】,2659,333.1769,,MC086
2659,精炼镍,2024-01-20,2024-01,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,ETERNAL TSINGSHAN GROUP LIMITED,China,NINGBO,75021000,24.0792,,99,HS750210 Ni≥99% 产品标准(口径#44),23.84,464224.1,19279,19474,ELECTROLYTIC NICKEL,新品目通道历史回补【#45】,新品目通道历史回补【#45】,2660,24.0792,,RC002
2660,精炼镍,2024-01-20,2024-01,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,ETERNAL TSINGSHAN GROUP LIMITED,China,NINGBO,75021000,30.0687,,99,HS750210 Ni≥99% 产品标准(口径#44),29.77,579695.97,19279,19474,ELECTROLYTIC NICKEL,新品目通道历史回补【#45】,新品目通道历史回补【#45】,2661,30.0687,,RC002
2661,精炼镍,2024-01-20,2024-01,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,ETERNAL TSINGSHAN GROUP LIMITED,China,NINGBO,75021000,48.2629,,99,HS750210 Ni≥99% 产品标准(口径#44),47.78,930462.86,19279,19474,ELECTROLYTIC NICKEL,新品目通道历史回补【#45】,新品目通道历史回补【#45】,2662,48.2629,,RC002
2698,精炼镍,2024-01-25,2024-01,PT CNGR DING XING NEW ENERGY,PT CNGR DING XING NEW ENERGY,IMIP(Morowali),Bahudopi,"C. Steinweg Logistics (Shanghai Waigaoqiao Bonded Logistics Zone) Co., Ltd.",China,Yantai Pt,75021000,342.0721,,99,HS750210 Ni≥99% 产品标准(口径#44),338.65,5693218.84,16643,16811,ELECTROLYTIC NICKEL,新品目通道历史回补【#45】,新品目通道历史回补【#45】,2699,342.0721,,NC019
